"R.br.","Br.indexa","Prisustvo","Zadace","Iparc26.04.","IIparc23.06.","Iparc03.07.","IIparc03.07.","Usmeni03.07.","Usmeni06.07.","Usmeni13.07.","Iparc01.09.","IIparc01.09.","Usmeni13.09.","UKUPNO","Ocjena","Grupa"
"78.","17791","10","0","7.3","18.5","19",NA,NA,NA,NA,NA,NA,NA,"47.5 (47.5%)","10","[Bez grupe]"
"79.","17389","10","0","3.4",NA,"10","6.5",NA,NA,NA,NA,NA,NA,"26.5 (26.5%)","6","[Bez grupe]"
"80.","17670","10","0","7.7","7.9","11.2","12.5",NA,NA,NA,NA,NA,NA,"33.7 (33.7%)","9","[Bez grupe]"
"81.","18003","10","0","13","16.4",NA,NA,NA,NA,NA,NA,NA,NA,"39.4 (39.39%)","9","[Bez grupe]"
"82.","17887","10","0","13.1","14.7",NA,NA,NA,NA,NA,NA,NA,NA,"37.8 (37.79%)","8","[Bez grupe]"
"83.","17962","10","0","13.2",NA,NA,NA,NA,NA,NA,NA,"12.3",NA,"35.5 (35.5%)","8","[Bez grupe]"
"84.","17811","10","0","11","18.5","20",NA,NA,NA,NA,NA,NA,NA,"48.5 (48.5%)","10","[Bez grupe]"
"85.","17783","10","0","4","7",NA,"14.9",NA,NA,NA,"7.5",NA,NA,"32.4 (32.4%)","6","[Bez grupe]"
"86.","16925","10","0","3","6.3","11","7",NA,NA,NA,NA,NA,NA,"28 (28%)","6","[Bez grupe]"
"87.","17395","10","0","15.1","17.8",NA,NA,NA,NA,NA,NA,NA,NA,"42.9 (42.9%)","9","[Bez grupe]"
"88.","17333","10","0","17.5","17.7",NA,NA,NA,NA,NA,NA,NA,NA,"45.2 (45.2%)","10","[Bez grupe]"
"89.","17444","10","0","14.3",NA,NA,NA,NA,NA,NA,NA,"9.5",NA,"33.8 (33.79%)","6","[Bez grupe]"
"90.","17450","10","0","6.9","5.5","12.7","8",NA,NA,NA,NA,NA,NA,"30.7 (30.7%)","6","[Bez grupe]"
"91.","17837","10","0","8","10.7","14",NA,NA,NA,NA,NA,NA,NA,"34.7 (34.7%)","8","[Bez grupe]"
"92.","17951","10","0","18","19.7",NA,NA,NA,NA,NA,NA,NA,NA,"47.7 (47.7%)","10","[Bez grupe]"
"93.","17935","10","0","12.3","16.2",NA,NA,NA,NA,NA,NA,NA,NA,"38.5 (38.5%)",NA,"[Bez grupe]"
"94.","17861","10","0","18.1","15",NA,NA,NA,NA,NA,NA,NA,NA,"43.1 (43.1%)","10","[Bez grupe]"
"95.","17943","10","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13 (13%)",NA,"[Bez grupe]"
